                                                                                                                     
{'loss': 1.4615, 'grad_norm': 3.4303083419799805, 'learning_rate': 1.99978454552219e-05, 'epoch': 0.02}
{'loss': 1.3868, 'grad_norm': 2.993452310562134, 'learning_rate': 1.999776179443703e-05, 'epoch': 0.02}
{'loss': 1.3327, 'grad_norm': 3.2810325622558594, 'learning_rate': 1.999767654035344e-05, 'epoch': 0.02}
{'loss': 1.54, 'grad_norm': 3.5440826416015625, 'learning_rate': 1.9997589692984715e-05, 'epoch': 0.02}
{'loss': 1.5009, 'grad_norm': 3.250962018966675, 'learning_rate': 1.9997501252344694e-05, 'epoch': 0.02}
{'loss': 1.4483, 'grad_norm': 3.2599546909332275, 'learning_rate': 1.9997411218447472e-05, 'epoch': 0.02}
{'loss': 1.3435, 'grad_norm': 3.0217840671539307, 'learning_rate': 1.9997319591307396e-05, 'epoch': 0.02}
{'loss': 1.4443, 'grad_norm': 3.322025775909424, 'learning_rate': 1.999722637093907e-05, 'epoch': 0.02}
{'loss': 1.5829, 'grad_norm': 3.4253008365631104, 'learning_rate': 1.999713155735735e-05, 'epoch': 0.02}
{'loss': 1.4122, 'grad_norm': 3.3044369220733643, 'learning_rate': 1.9997035150577346e-05, 'epoch': 0.02}
{'loss': 1.5421, 'grad_norm': 2.986422061920166, 'learning_rate': 1.999693715061442e-05, 'epoch': 0.02}
{'loss': 1.3748, 'grad_norm': 3.1580288410186768, 'learning_rate': 1.9996837557484193e-05, 'epoch': 0.02}
{'loss': 1.5443, 'grad_norm': 2.8971617221832275, 'learning_rate': 1.9996736371202533e-05, 'epoch': 0.02}
{'loss': 1.3688, 'grad_norm': 2.860597610473633, 'learning_rate': 1.9996633591785567e-05, 'epoch': 0.02}
{'loss': 1.5132, 'grad_norm': 3.140298366546631, 'learning_rate': 1.9996529219249677e-05, 'epoch': 0.03}
{'loss': 1.5039, 'grad_norm': 3.3939120769500732, 'learning_rate': 1.9996423253611493e-05, 'epoch': 0.03}
{'loss': 1.4455, 'grad_norm': 3.3419666290283203, 'learning_rate': 1.9996315694887905e-05, 'epoch': 0.03}
{'loss': 1.5571, 'grad_norm': 3.4599928855895996, 'learning_rate': 1.999620654309605e-05, 'epoch': 0.03}
{'loss': 1.384, 'grad_norm': 3.1878292560577393, 'learning_rate': 1.999609579825333e-05, 'epoch': 0.03}
{'loss': 1.3824, 'grad_norm': 2.903754472732544, 'learning_rate': 1.999598346037739e-05, 'epoch': 0.03}
{'loss': 1.2522, 'grad_norm': 3.14740252494812, 'learning_rate': 1.999586952948613e-05, 'epoch': 0.03}
{'loss': 1.4354, 'grad_norm': 3.009045362472534, 'learning_rate': 1.999575400559771e-05, 'epoch': 0.03}
{'loss': 1.2513, 'grad_norm': 2.9967305660247803, 'learning_rate': 1.9995636888730537e-05, 'epoch': 0.03}
{'loss': 1.339, 'grad_norm': 2.8468680381774902, 'learning_rate': 1.999551817890328e-05, 'epoch': 0.03}
{'loss': 1.2954, 'grad_norm': 2.824923276901245, 'learning_rate': 1.9995397876134858e-05, 'epoch': 0.03}
{'loss': 1.4384, 'grad_norm': 2.91902756690979, 'learning_rate': 1.999527598044444e-05, 'epoch': 0.03}
{'loss': 1.4863, 'grad_norm': 3.19765567779541, 'learning_rate': 1.999515249185145e-05, 'epoch': 0.03}
{'loss': 1.4743, 'grad_norm': 2.98588490486145, 'learning_rate': 1.999502741037557e-05, 'epoch': 0.03}
{'loss': 1.4341, 'grad_norm': 2.8459293842315674, 'learning_rate': 1.9994900736036737e-05, 'epoch': 0.03}
{'loss': 1.4857, 'grad_norm': 2.692344903945923, 'learning_rate': 1.9994772468855132e-05, 'epoch': 0.03}
{'loss': 1.4974, 'grad_norm': 3.3227267265319824, 'learning_rate': 1.9994642608851204e-05, 'epoch': 0.03}
{'loss': 1.3869, 'grad_norm': 2.879628896713257, 'learning_rate': 1.999451115604564e-05, 'epoch': 0.03}
{'loss': 1.3672, 'grad_norm': 2.8708043098449707, 'learning_rate': 1.9994378110459398e-05, 'epoch': 0.03}
{'loss': 1.3476, 'grad_norm': 2.9818801879882812, 'learning_rate': 1.999424347211367e-05, 'epoch': 0.03}
{'loss': 1.5133, 'grad_norm': 3.189286470413208, 'learning_rate': 1.9994107241029925e-05, 'epoch': 0.03}
{'loss': 1.3212, 'grad_norm': 2.766296148300171, 'learning_rate': 1.9993969417229863e-05, 'epoch': 0.03}
{'loss': 1.5269, 'grad_norm': 2.9714038372039795, 'learning_rate': 1.9993830000735455e-05, 'epoch': 0.03}
{'loss': 1.3651, 'grad_norm': 2.74489688873291, 'learning_rate': 1.9993688991568913e-05, 'epoch': 0.03}
{'loss': 1.3455, 'grad_norm': 3.0848183631896973, 'learning_rate': 1.9993546389752717e-05, 'epoch': 0.03}
{'loss': 1.3181, 'grad_norm': 3.0134565830230713, 'learning_rate': 1.999340219530959e-05, 'epoch': 0.03}
{'loss': 1.295, 'grad_norm': 2.9577627182006836, 'learning_rate': 1.9993256408262508e-05, 'epoch': 0.04}
{'loss': 1.3493, 'grad_norm': 3.28775691986084, 'learning_rate': 1.9993109028634702e-05, 'epoch': 0.04}
{'loss': 1.4388, 'grad_norm': 2.8175225257873535, 'learning_rate': 1.999296005644967e-05, 'epoch': 0.04}
{'loss': 1.4431, 'grad_norm': 3.348132610321045, 'learning_rate': 1.9992809491731148e-05, 'epoch': 0.04}
{'loss': 1.3672, 'grad_norm': 2.8933193683624268, 'learning_rate': 1.9992657334503124e-05, 'epoch': 0.04}
{'loss': 1.3212, 'grad_norm': 2.7462270259857178, 'learning_rate': 1.9992503584789856e-05, 'epoch': 0.04}
{'loss': 1.2985, 'grad_norm': 2.920200824737549, 'learning_rate': 1.9992348242615843e-05, 'epoch': 0.04}
{'loss': 1.4872, 'grad_norm': 3.0956661701202393, 'learning_rate': 1.999219130800584e-05, 'epoch': 0.04}
{'loss': 1.3984, 'grad_norm': 3.22184681892395, 'learning_rate': 1.9992032780984857e-05, 'epoch': 0.04}
{'loss': 1.373, 'grad_norm': 3.414947986602783, 'learning_rate': 1.999187266157816e-05, 'epoch': 0.04}
{'loss': 1.4552, 'grad_norm': 3.076761245727539, 'learning_rate': 1.9991710949811265e-05, 'epoch': 0.04}
{'loss': 1.4086, 'grad_norm': 2.971116304397583, 'learning_rate': 1.9991547645709945e-05, 'epoch': 0.04}
{'loss': 1.7106, 'grad_norm': 4.117963790893555, 'learning_rate': 1.9991382749300223e-05, 'epoch': 0.04}
{'loss': 1.1633, 'grad_norm': 2.8958051204681396, 'learning_rate': 1.9991216260608378e-05, 'epoch': 0.04}
{'loss': 1.4625, 'grad_norm': 3.1694061756134033, 'learning_rate': 1.9991048179660947e-05, 'epoch': 0.04}
{'loss': 1.454, 'grad_norm': 3.0582566261291504, 'learning_rate': 1.9990878506484705e-05, 'epoch': 0.04}
{'loss': 1.5699, 'grad_norm': 3.9411892890930176, 'learning_rate': 1.9990707241106703e-05, 'epoch': 0.04}
{'loss': 1.4056, 'grad_norm': 3.2736260890960693, 'learning_rate': 1.9990534383554232e-05, 'epoch': 0.04}
{'loss': 1.2942, 'grad_norm': 3.1502180099487305, 'learning_rate': 1.9990359933854836e-05, 'epoch': 0.04}
{'loss': 1.5006, 'grad_norm': 3.390366554260254, 'learning_rate': 1.999018389203632e-05, 'epoch': 0.04}
{'loss': 1.4524, 'grad_norm': 2.7708957195281982, 'learning_rate': 1.999000625812674e-05, 'epoch': 0.04}
{'loss': 1.4867, 'grad_norm': 2.9245316982269287, 'learning_rate': 1.99898270321544e-05, 'epoch': 0.04}
{'loss': 1.3359, 'grad_norm': 2.9592297077178955, 'learning_rate': 1.9989646214147864e-05, 'epoch': 0.04}
{'loss': 1.3737, 'grad_norm': 2.9377527236938477, 'learning_rate': 1.9989463804135954e-05, 'epoch': 0.04}
{'loss': 1.2646, 'grad_norm': 3.4139480590820312, 'learning_rate': 1.998927980214773e-05, 'epoch': 0.04}
{'loss': 1.3148, 'grad_norm': 2.736712694168091, 'learning_rate': 1.9989094208212525e-05, 'epoch': 0.04}
{'loss': 1.3875, 'grad_norm': 2.7699265480041504, 'learning_rate': 1.9988907022359908e-05, 'epoch': 0.04}
{'loss': 1.5061, 'grad_norm': 3.081010580062866, 'learning_rate': 1.9988718244619717e-05, 'epoch': 0.05}
{'loss': 1.3592, 'grad_norm': 2.8263421058654785, 'learning_rate': 1.9988527875022034e-05, 'epoch': 0.05}
{'loss': 1.3402, 'grad_norm': 2.8007664680480957, 'learning_rate': 1.9988335913597193e-05, 'epoch': 0.05}
{'loss': 1.3313, 'grad_norm': 2.932222366333008, 'learning_rate': 1.9988142360375796e-05, 'epoch': 0.05}
{'loss': 1.4251, 'grad_norm': 2.6931960582733154, 'learning_rate': 1.9987947215388675e-05, 'epoch': 0.05}
{'loss': 1.3629, 'grad_norm': 2.9496166706085205, 'learning_rate': 1.9987750478666947e-05, 'epoch': 0.05}
{'loss': 1.3902, 'grad_norm': 2.8636550903320312, 'learning_rate': 1.9987552150241947e-05, 'epoch': 0.05}
{'loss': 1.4658, 'grad_norm': 3.2039060592651367, 'learning_rate': 1.9987352230145292e-05, 'epoch': 0.05}
{'loss': 1.3759, 'grad_norm': 2.9644064903259277, 'learning_rate': 1.9987150718408843e-05, 'epoch': 0.05}
{'loss': 1.3386, 'grad_norm': 2.877549886703491, 'learning_rate': 1.998694761506471e-05, 'epoch': 0.05}
{'loss': 1.2324, 'grad_norm': 2.7600579261779785, 'learning_rate': 1.9986742920145258e-05, 'epoch': 0.05}
{'loss': 1.3675, 'grad_norm': 2.702700614929199, 'learning_rate': 1.9986536633683116e-05, 'epoch': 0.05}
{'loss': 1.2606, 'grad_norm': 2.5007550716400146, 'learning_rate': 1.9986328755711156e-05, 'epoch': 0.05}
{'loss': 1.2524, 'grad_norm': 2.867561101913452, 'learning_rate': 1.9986119286262503e-05, 'epoch': 0.05}
{'loss': 1.5012, 'grad_norm': 3.0059919357299805, 'learning_rate': 1.9985908225370544e-05, 'epoch': 0.05}
{'loss': 1.2482, 'grad_norm': 5.159078598022461, 'learning_rate': 1.9985695573068913e-05, 'epoch': 0.05}
{'loss': 1.3623, 'grad_norm': 2.8036444187164307, 'learning_rate': 1.9985481329391498e-05, 'epoch': 0.05}
{'loss': 1.4812, 'grad_norm': 3.3473803997039795, 'learning_rate': 1.9985265494372444e-05, 'epoch': 0.05}
{'loss': 1.5045, 'grad_norm': 3.2897632122039795, 'learning_rate': 1.998504806804615e-05, 'epoch': 0.05}
{'loss': 1.478, 'grad_norm': 2.8885369300842285, 'learning_rate': 1.9984829050447258e-05, 'epoch': 0.05}
{'loss': 1.2604, 'grad_norm': 2.7569687366485596, 'learning_rate': 1.998460844161068e-05, 'epoch': 0.05}
{'loss': 1.4213, 'grad_norm': 2.91222882270813, 'learning_rate': 1.998438624157157e-05, 'epoch': 0.05}
